Il,Kurd
"ADANA",.1883682
"ADIYAMAN",.4491301
"AFYONKARAHISAR",.0111361
"AGRI",.8339058
"AKSARAY",0
"AMASYA",.0189207
"ANKARA",.0205208
"ANTALYA",.0715706
"ARDAHAN",.6057193
"ARTVIN",.048345
"AYDIN",.2311192
"BALIKESIR",.0168618
"BARTIN",0
"BATMAN",.752385
"BAYBURT",.0187391
"BILECIK",.1023322
"BINGÖL",.8992004
"BITLIS",.8463179
"BOLU",.0195563
"BURDUR",.1027784
"BURSA",.0432302
"CANAKKALE",.0096088
"CANKIRI",.0158578
"CORUM",0
"DENIZLI",.035101
"DIYARBAKIR",.8492223
"DÜZCE",.1187678
"EDIRNE",0
"ELAZIG",.3755757
"ERZINCAN",.2475666
"ERZURUM",.2292201
"ESKISEHIR",.0426652
"GAZIANTEP",.1895986
"GIRESUN",.0085638
"GÜMÜSHANE",.011694
"HAKKARI",.7870169
"HATAY",.0209451
"IGDIR",.4782506
"ISPARTA",0
"ISTANBUL",.1300069
"IZMIR",.0516618
"KAHRAMANMARAS",.0534373
"KARABÜK",.0074991
"KARAMAN",0
"KARS",.6882699
"KASTAMONU",0
"KAYSERI",.03361
"KILIS",.1199371
"KIRIKKALE",.0249932
"KIRKLARELI",.0317817
"KIRSEHIR",.0140482
"KOCAELI",.1913836
"KONYA",.0906579
"KÜTAHYA",0
"MALATYA",.2093262
"MANISA",.0479213
"MARDIN",.7257618
"MERSIN",.2185962
"MUGLA",.0093445
"MUS",.7938439
"NEVSEHIR",.0200347
"NIGDE",.037201
"ORDU",.00182
"OSMANIYE",.0623775
"RIZE",.0049513
"SAKARYA",.0064838
"SAMSUN",.0033332
"SANLIURFA",.6022733
"SIIRT",.9715337
"SINOP",0
"SIRNAK",.9877768
"SIVAS",.0326534
"TEKIRDAG",.0516201
"TOKAT",.0129283
"TRABZON",.0022094
"TUNCELI",.7777778
"USAK",0
"VAN",.8670997
"YALOVA",.08
"YOZGAT",.0142697
"ZONGULDAK",0
